"GENDER","GENERATION","ARTIST","SONG_NAME","ALBUM_NAME","ALBUM_IMG","YOUTUBE"
"여성",50,"인순이","거위의 꿈","거위의 꿈","https://musicmeta-phinf.pstatic.net/album/000/045/45164.jpg?type=r480Fll","https://www.youtube.com/watch?v=e-WOXDNRef0"
"여성",50,"이소라","나를 사랑하지 않는 그대에게","SoRa's 5 Diary","https://musicmeta-phinf.pstatic.net/album/000/001/1681.jpg?type=r480Fll","https://www.youtube.com/watch?v=kiN7mOeUOFE"
"여성",50,"이소라","제발","꽃","https://musicmeta-phinf.pstatic.net/album/000/001/1506.jpg?type=r480Fll","https://www.youtube.com/watch?v=seeZ4Sjykt8"
"여성",50,"윤종신","좋니","LISTEN 010 좋니","https://musicmeta-phinf.pstatic.net/album/002/067/2067347.jpg?type=r480Fll","https://www.youtube.com/watch?v=jy_UiIQn_d0"
"여성",50,"이승환","천일동안","Human","https://musicmeta-phinf.pstatic.net/album/000/000/273.jpg?type=r480Fll","https://www.youtube.com/watch?v=Dg5ScijAiTU"
"여성",50,"이승환","어떻게 사랑이 그래요","Hwantastic","https://musicmeta-phinf.pstatic.net/album/000/042/42220.jpg?type=r480Fll","https://www.youtube.com/watch?v=aTHjlRJr-xQ"
"여성",50,"송창식","고래사냥","송창식 골든 제2집","https://musicmeta-phinf.pstatic.net/album/000/003/3424.jpg?type=r480Fll","https://www.youtube.com/watch?v=P3hJ217vyOU"
"여성",50,"송창식","우리는","송창식 골든 제3집","https://musicmeta-phinf.pstatic.net/album/000/003/3423.jpg?type=r480Fll","https://www.youtube.com/watch?v=YzcLM1f3_qU"
"여성",50,"양수경","바라 볼 수 없는 그대","떠나는 마음","https://musicmeta-phinf.pstatic.net/album/000/120/120728.jpg?type=r480Fll","https://www.youtube.com/watch?v=jH3duLuccQo"
"여성",50,"양수경","사랑은 창밖에 빗물 같아요","떠나는 마음","https://musicmeta-phinf.pstatic.net/album/000/120/120728.jpg?type=r480Fll","https://www.youtube.com/watch?v=nCpdJtrd4UM"
"여성",50,"박상민","해바라기 (그녀에게..)","Sunflower","https://musicmeta-phinf.pstatic.net/album/000/001/1221.jpg?type=r480Fll","https://www.youtube.com/watch?v=XGyYRrCU5cI"
"여성",50,"양수경","이별의 끝은 어디인가요","이별의 끝은 어디인가요","https://musicmeta-phinf.pstatic.net/album/000/063/63106.jpg?type=r480Fll","https://www.youtube.com/watch?v=3BiYnvOK0e4"
"여성",50,"오승근","내 나이가 어때서","내 나이가 어때서","https://musicmeta-phinf.pstatic.net/album/000/326/326367.jpg?type=r480Fll","https://www.youtube.com/watch?v=dzOrxttyK-E"
"여성",50,"이은미","애인 있어요","Ma Non Tanto","https://musicmeta-phinf.pstatic.net/album/000/035/35120.jpg?type=r480Fll","https://www.youtube.com/watch?v=PRHkIH3zEO4"
"여성",10,"ENHYPEN","Bite Me","DARK BLOOD","https://musicmeta-phinf.pstatic.net/album/009/701/9701616.jpg?type=r480","https://www.youtube.com/watch?v=wXFLzODIdUI"
"여성",20,"장혜진","그날 밤","그날 밤","https://musicmeta-phinf.pstatic.net/album/009/647/9647644.jpg?type=r480","https://www.youtube.com/watch?v=6seoP9YjJLw"
"여성",20,"(여자)아이들","Allergy","I feel","https://musicmeta-phinf.pstatic.net/album/009/637/9637036.jpg?type=r480","https://www.youtube.com/watch?v=XZaBkbvteBc"
"여성",40,"새봄(Saevom)","그댄 아나요 (With 빌리어코스티)","나의 작은 너에게","https://musicmeta-phinf.pstatic.net/album/008/658/8658005.jpg?type=r480","https://www.youtube.com/watch?v=AmsoFBalGBE"
"여성",40,"Kei(케이)","연가(戀歌)","구미호뎐 1938 OST Part 2","https://musicmeta-phinf.pstatic.net/album/009/647/9647637.jpg?type=r480","https://www.youtube.com/watch?v=aej_hqSG-fQ"
