분류,순위,가수명,인기곡,앨범이미지,유튜브링크
남자솔로,25,Ed Sheeran,Eyes Closed,https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/49/800/549800_20230324133523_500.jpg,https://www.youtube.com/watch?v=u6wOyMUs74I
남자솔로,26,DK(디셈버),심(心),https://cdnimg.melon.co.kr/cm2/artistcrop/images/005/24/801/524801_20230112145951_500.jpg,https://www.youtube.com/watch?v=OMjDI2NqQ9M
남자솔로,27,#안녕,해요 (2022),https://cdnimg.melon.co.kr/cm/artistcrop/images/010/24/489/1024489_500.jpg,https://www.youtube.com/watch?v=P6gV_t70KAk
남자솔로,28,김승민,내 기쁨은 너가 벤틀리를 끄는 거야,https://cdnimg.melon.co.kr/cm2/artistcrop/images/008/27/322/827322_20230117145516_500.jpg,https://www.youtube.com/watch?v=nhpteF75kg8
남자솔로,29,임한별,사랑하지 않아서 그랬어,https://cdnimg.melon.co.kr/cm2/artistcrop/images/004/71/741/471741_20230331171420_500.jpg,https://www.youtube.com/watch?v=ve7vLxUVFpE
남자솔로,30,적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),https://cdnimg.melon.co.kr/cm2/artistcrop/images/007/71/375/771375_20221109135747_500.jpg,https://www.youtube.com/watch?v=26YwXUcUf4I
남자솔로,31,임창정,그대라는 사치,https://cdnimg.melon.co.kr/cm2/artistcrop/images/000/01/142/1142_20230208100929_500.jpg,https://www.youtube.com/watch?v=cdmiRnRP0Fo
남자솔로,32,TOIL,네 옆에 그 사람은 내가 아닌 다른사람,https://cdnimg.melon.co.kr/cm2/artistcrop/images/021/90/430/2190430_20220520134906_500.jpg,https://www.youtube.com/watch?v=iwgkwriv0OE
남자솔로,33,Crush,Rush Hour (Feat. j-hope of BTS),https://cdnimg.melon.co.kr/cm2/artistcrop/images/006/74/710/674710_20220922150716_500.jpg,https://www.youtube.com/watch?v=PS0qkO5qty0
남자솔로,34,imase,NIGHT DANCER,https://cdnimg.melon.co.kr/cm2/artistcrop/images/030/60/228/3060228_20230203164411_500.jpg,https://www.youtube.com/watch?v=kagoEGKHZvU
남자솔로,35,Lauv,Paris in the Rain,https://cdnimg.melon.co.kr/cm2/artistcrop/images/019/56/543/1956543_20220805103616_500.jpg,https://www.youtube.com/watch?v=kOCkne-Bku4
남자솔로,36,먼데이 키즈 (Monday Kiz),되돌리다,https://cdnimg.melon.co.kr/cm2/artistcrop/images/001/75/155/175155_20221103144756_500.jpg,https://www.youtube.com/watch?v=t7sd6vZy-g8
