성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,20,"Jennifer Lopez, Ja Rule",I'm Real (Murder Remix) (Feat. Ja Rule),J To Tha L-O! The Remixes (Explicit Version),https://musicmeta-phinf.pstatic.net/album/000/724/724099.jpg,https://www.youtube.com/watch?v=Sjx9oSJDAVQ
여성,20,Camila Cabello,Havana (Feat. Young Thug),Camila,https://musicmeta-phinf.pstatic.net/album/002/152/2152059.jpg,https://www.youtube.com/watch?v=BQ0mxQXmLsk
여성,20,Post Malone,Chemical,Chemical,https://musicmeta-phinf.pstatic.net/album/009/485/9485668.jpg,https://www.youtube.com/watch?v=IzPQ_jA00bk
여성,20,Meghan Trainor,All About That Bass,King's Coronation Party,https://musicmeta-phinf.pstatic.net/album/009/615/9615048.jpg,https://www.youtube.com/watch?v=7PCkvCPvDXk
여성,20,Demi Lovato,Sorry Not Sorry,Tell Me You Love Me,https://musicmeta-phinf.pstatic.net/album/002/643/2643697.jpg,https://www.youtube.com/watch?v=q2NAU8XjqG4
여성,20,Selena Gomez,Lose You To Love Me,Lose You To Love Me,https://musicmeta-phinf.pstatic.net/album/003/362/3362550.jpg,https://www.youtube.com/watch?v=zlJDTxahav0
여성,20,Sia,Cheap Thrills (Feat. Sean Paul),This Is Acting (Deluxe Version),https://musicmeta-phinf.pstatic.net/album/000/661/661634.jpg,https://www.youtube.com/watch?v=31crA53Dgu0
여성,20,Dua Lipa,New Rules,Dua Lipa (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/635/635724.jpg,https://www.youtube.com/watch?v=k2qgadSvNyU
여성,20,Lorde,Royals,Pure Heroine,https://musicmeta-phinf.pstatic.net/album/000/396/396960.jpg,https://www.youtube.com/watch?v=nlcIKh6sBtc
여성,20,송이한,밝게 빛나는 별이 되어 비춰줄게,밝게 빛나는 별이 되어 비춰줄게,https://musicmeta-phinf.pstatic.net/album/005/182/5182119.jpg,https://www.youtube.com/watch?v=5YQww_vbNTU
여성,20,Katy Perry,Roar,PRISM (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/399/399492.jpg,https://www.youtube.com/watch?v=CevxZvSJLk8
여성,20,"조이 (JOY), 하동균",푸른 밤 이 노래,푸른 밤 이 노래,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F450%2F9450740.jpg,https://www.youtube.com/watch?v=-s-Vmu2sDk8
여성,20,Rihanna,Diamonds,Diamonds,https://musicmeta-phinf.pstatic.net/album/000/332/332083.jpg,https://www.youtube.com/watch?v=lWA2pjMjpBs
여성,20,Halsey,Without Me,Without Me,https://musicmeta-phinf.pstatic.net/album/002/551/2551652.jpg,https://www.youtube.com/watch?v=ZAfAud_M_mg
여성,20,FIFTY FIFTY,Cupid,The Beginning: Cupid,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F178%2F9178590.jpg,https://www.youtube.com/watch?v=Qc7_zRjH808
여성,20,이기광,Predator,Predator,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F487%2F9487922.jpg,https://www.youtube.com/watch?v=UiR23BiprwY
여성,20,볼빨간사춘기,FRIEND THE END,사랑.zip,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F486%2F9486305.jpg,https://www.youtube.com/watch?v=haceXrrm-LU
여성,20,Ariana Grande,7 rings,7 rings,https://musicmeta-phinf.pstatic.net/album/002/816/2816715.jpg,https://www.youtube.com/watch?v=QYh6mYIJG2Y
여성,20,IVE(아이브),I AM,I've IVE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F334%2F9334427.jpg,https://www.youtube.com/watch?v=6ZUIwj3FgUY
여성,20,Say Yes!,Say My Name,BOYS PLANET - ARTIST BATTLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F416%2F9416056.jpg,https://www.youtube.com/watch?v=jkemczUyhW4
여성,20,박재정,헤어지자 말해요,1집 Alone,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F494%2F9494325.jpg,https://www.youtube.com/watch?v=UVNTNzRBr7s
여성,20,박재범,Sunday Night Drive,Sunday Night Drive,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F506%2F9506813.jpg,https://www.youtube.com/watch?v=iWoS847QveI
여성,20,BOYS PLANET,Jelly Pop,BOYS PLANET - FINAL TOP9 BATTLE,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F499%2F9499685.jpg,https://www.youtube.com/watch?v=FoRAxERsLfc
여성,20,윤딴딴,내가 야! 하면 넌 예! (feat. 경서),내가 야! 하면 넌 예!,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F423%2F9423004.jpg,https://www.youtube.com/watch?v=QobRhpTWA28
여성,20,지수 (JISOO),꽃,ME,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F399%2F9399447.jpg,https://www.youtube.com/watch?v=YudHcBIxlYw
여성,20,세븐틴 (SEVENTEEN),Fire,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=HJYmVv-lOkg
여성,20,에이핑크(Apink),D N D,SELF,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F415%2F9415297.jpg,https://www.youtube.com/watch?v=w8Rhc9WdDjk
여성,20,태양,슝! (feat. LISA of BLACKPINK),Down to Earth,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F555%2F9555374.jpg,https://www.youtube.com/watch?v=jUKEEKo-4pI
여성,20,STAYC(스테이씨),Teddy Bear,Teddy Bear,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F045d36ff%2F2534%2F4a45%2Fabd2%2Fbb063fa6c5e3%2F8830640.jpg,https://www.youtube.com/watch?v=SxHmoifp0oQ
여성,20,이채연,KNOCK,Over The Moon,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F449%2F9449661.jpg,https://www.youtube.com/watch?v=3bnjH5jXxJc
여성,20,스탠딩 에그(Standing Egg),청소 (여름날 우리 X 스탠딩 에그),청소 (여름날 우리 X 스탠딩 에그),https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F591%2F9591755.jpg,https://www.youtube.com/watch?v=yVY9XH6edaw
여성,20,허각,물론,물론,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F613%2F9613552.jpg,https://www.youtube.com/watch?v=veUTBoY53yU
여성,20,NCT 도재정,Perfume,Perfume - The 1st Mini Album,https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F491%2F9491534.jpg,https://www.youtube.com/watch?v=7nRiE4sLLxE
여성,20,부석순(SEVENTEEN),파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F008%2F835%2F8835837.jpg,https://www.youtube.com/watch?v=mBXBOLG06Wc
여성,20,H1-KEY(하이키),건물 사이에 피어난 장미 (Rose Blossom),H1-KEY 1st Mini Album [Rose Blossom],https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F4af96eaf%2Fe3fa%2F4392%2F8089%2Fde20655cfd7f%2F8659695.jpg,https://www.youtube.com/watch?v=vfUAckewh_8
여성,20,세븐틴 (SEVENTEEN),손오공,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=-GQg25oP0S4
여성,20,세븐틴 (SEVENTEEN),F*ck My Life,SEVENTEEN 10th Mini Album 'FML',https://search.pstatic.net/common?src=https%3A%2F%2Fmusicmeta-phinf.pstatic.net%2Falbum%2F009%2F554%2F9554326.jpg,https://www.youtube.com/watch?v=SB03Cbc50i8
여성,20,Smooth Times,Crazy in Love,Smooth Times Play Beyonce Chill Out,https://musicmeta-phinf.pstatic.net/album/003/366/3366630.jpg,https://www.youtube.com/watch?v=ViwtNLUqkMY
여성,20,에이치코드(H:CODE),꿈속에 너 (Feat. 전상근),두 번째 이야기,https://musicmeta-phinf.pstatic.net/album/000/627/627707.jpg,https://www.youtube.com/watch?v=DhMLZlq_8gE
여성,20,Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",https://musicmeta-phinf.pstatic.net/album/002/966/2966558.jpg,https://www.youtube.com/watch?v=DyDfgMOUjCI
여성,20,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part 3,https://musicmeta-phinf.pstatic.net/album/002/421/2421567.jpg,https://www.youtube.com/watch?v=1q_t6RNuH8c
여성,20,정승환,너였다면,또 오해영 OST Part 5,https://musicmeta-phinf.pstatic.net/album/000/640/640805.jpg,https://www.youtube.com/watch?v=bkEpWA-4FfU
여성,20,허각,나를 사랑했던 사람아,LACRIMOSO,https://musicmeta-phinf.pstatic.net/album/000/317/317223.jpg,https://www.youtube.com/watch?v=Ixq4FjZdzho
여성,20,정준일,안아줘,Lo9ve3r4s,https://musicmeta-phinf.pstatic.net/album/000/301/301989.jpg,https://www.youtube.com/watch?v=W4SXOQ7xFoo
여성,20,"조유진(체리필터), 박기영","나에게로의 초대 (이상한 나라의 앨리스, 하트다 하트여왕)",복면가왕 89회,https://musicmeta-phinf.pstatic.net/album/001/709/1709584.jpg,https://www.youtube.com/watch?v=dz4WCVP0gEI
여성,20,허각,hello,LIKE 1st MINI ALBUM 'First Story',https://musicmeta-phinf.pstatic.net/album/000/207/207064.jpg,https://www.youtube.com/watch?v=bCC16u613vY
여성,20,닐로(Nilo),지나오다,About You,https://musicmeta-phinf.pstatic.net/album/002/252/2252719.jpg,https://www.youtube.com/watch?v=uqQqnWfJyAA
여성,20,야다,이미 슬픈 사랑,Wear To Healing YADA,https://musicmeta-phinf.pstatic.net/album/000/001/1972.jpg,https://www.youtube.com/watch?v=S_cgH7nSXeI
여성,20,소찬휘,Tears,First Bridge,https://musicmeta-phinf.pstatic.net/album/000/001/1408.jpg,https://www.youtube.com/watch?v=3W2EnCe4mCw
